fixing non ASCII chars on jmetal...
loading java files...
compiling...
removing aux files...
running...
	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Obj1	Obj2	Obj3	Obj4	Obj5
	1.000	1.398	0.000	4.000	5.666	6.000	8.083	8.000	9.000	10.000	12.381	12.000	20.482	14.000	15.000	12.438	1.986	0.973	1.588	0.977	0.977
	1.000	0.095	3.000	0.000	5.000	0.774	7.000	8.000	9.000	13.010	13.543	12.000	8.308	6.375	17.245	16.000	1.949	1.300	0.977	1.025	0.980
	0.018	0.002	0.023	0.000	6.401	4.416	8.855	8.881	17.456	20.000	8.155	11.059	13.620	5.066	6.074	23.742	0.978	3.213	1.033	1.148	1.785
	1.030	0.001	0.000	0.842	4.810	0.071	6.401	6.384	8.720	3.230	8.065	13.487	20.058	13.376	25.732	17.351	1.811	0.979	1.333	1.212	0.979
	0.318	0.000	0.000	3.706	2.464	6.195	7.908	7.475	10.332	9.000	9.900	9.175	16.505	13.083	16.334	18.040	0.971	0.971	4.120	1.755	1.044
	0.269	0.000	1.032	2.393	7.953	8.581	9.105	8.324	11.117	5.160	14.281	10.504	18.776	4.813	21.356	9.748	1.989	0.982	0.985	1.638	1.073
	0.620	0.000	1.104	0.469	1.815	3.089	6.126	7.036	8.689	6.248	13.173	11.408	8.774	13.960	18.032	14.096	2.033	0.976	0.972	1.488	0.987
	0.001	0.002	0.000	2.920	2.460	5.135	3.686	9.852	7.244	5.961	14.650	10.736	12.286	9.631	16.424	19.236	0.967	0.967	4.581	1.122	2.732
	0.021	0.037	0.000	0.000	0.994	10.136	2.267	16.000	0.000	0.000	22.000	18.648	15.753	0.000	30.000	28.520	0.996	3.134	1.175	1.064	1.738
	0.580	2.000	0.075	0.000	5.000	2.664	12.157	8.000	10.724	8.417	11.000	12.000	9.335	3.320	25.465	15.469	1.749	1.460	1.022	0.975	0.996
	0.000	0.000	1.025	6.786	1.444	6.309	3.858	8.234	9.108	8.970	6.931	13.855	12.456	7.290	12.236	17.228	0.970	0.970	0.970	6.329	2.975
	0.611	1.650	0.446	0.000	5.267	3.517	11.015	9.161	9.792	9.349	12.119	13.292	10.004	4.337	23.211	17.976	1.795	1.492	0.995	0.980	0.998
	1.000	2.000	3.000	0.000	9.160	2.878	4.700	5.778	9.025	10.775	11.000	9.217	13.000	14.006	12.187	8.474	1.786	1.610	0.966	0.966	0.968
	0.001	0.000	0.000	4.009	4.202	1.460	4.400	10.230	9.172	7.566	12.298	3.418	17.842	15.400	16.500	14.376	0.974	0.974	4.153	1.321	2.627
	0.003	1.512	0.000	0.917	7.324	5.421	3.392	10.464	14.833	11.612	14.908	11.101	10.033	8.816	24.989	27.885	1.797	0.982	1.455	0.981	2.432
	0.665	1.845	1.289	0.000	4.232	9.212	9.400	8.912	11.821	7.291	5.452	10.236	15.492	7.187	8.802	12.421	2.040	1.272	0.974	0.970	0.984
	0.062	0.571	0.000	4.000	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.000	14.000	15.000	16.000	1.957	0.973	1.398	0.985	1.371
	0.008	0.052	0.000	0.000	5.000	5.991	5.569	8.000	18.000	11.048	15.763	5.349	13.000	6.742	7.323	25.834	0.980	2.981	1.198	1.037	2.080
	0.008	0.002	0.000	0.000	4.297	6.480	5.533	8.841	18.000	10.307	15.591	5.614	12.031	6.012	7.090	25.825	0.980	2.773	1.175	1.142	2.091
	0.000	0.000	0.000	4.000	1.310	6.000	12.437	8.000	5.390	10.000	11.562	7.935	15.977	10.149	15.000	11.564	0.961	0.961	0.961	6.966	2.867
	0.907	0.977	1.205	0.000	4.198	3.127	4.735	5.365	6.061	6.997	8.342	6.185	7.176	9.808	14.248	11.633	0.935	4.481	0.941	0.942	0.941
	1.102	0.000	0.000	2.934	3.991	4.030	6.173	12.376	6.891	19.394	16.146	3.425	22.353	1.289	16.054	11.104	0.972	0.972	4.961	1.391	0.974
	0.147	0.871	3.000	0.000	3.847	6.000	2.549	13.112	9.000	6.135	11.000	9.516	13.000	14.000	10.162	16.000	1.930	1.313	0.967	0.974	1.157
	1.074	0.000	2.747	3.017	6.611	4.363	5.234	6.898	6.662	7.013	12.891	12.107	9.544	9.801	13.789	16.000	0.937	0.937	0.937	8.782	0.940
	0.002	0.000	1.057	4.908	6.648	5.134	5.455	10.516	15.240	6.730	7.560	13.180	11.831	12.733	10.229	12.260	0.957	0.957	0.957	7.348	2.497
	0.000	2.103	0.958	0.000	1.992	11.993	3.716	1.597	5.250	0.000	22.000	5.624	14.043	27.505	30.000	12.421	0.984	3.226	0.990	0.985	3.252
	0.001	0.002	3.000	0.000	1.919	9.928	11.142	6.090	7.785	0.021	13.240	14.626	9.944	14.000	17.299	2.110	1.706	1.173	0.978	1.128	2.641
	0.093	0.000	0.000	0.000	2.326	1.431	4.094	5.746	7.806	7.409	7.886	6.599	16.774	16.456	8.673	11.223	0.950	0.950	0.950	8.204	1.241
	0.856	0.805	1.161	0.000	4.492	2.979	4.968	5.702	6.778	6.789	8.447	5.281	7.748	9.773	13.847	11.090	0.940	4.453	0.947	0.949	0.947
	0.015	0.008	0.001	0.000	2.848	5.297	6.766	11.962	17.411	13.077	18.698	6.360	0.338	0.000	9.632	31.021	0.985	3.075	1.119	1.101	1.839
	0.001	0.000	0.030	5.595	3.854	3.337	11.696	6.757	9.000	11.584	5.526	10.761	11.969	10.881	14.345	11.217	0.955	0.955	0.955	7.173	2.695
	0.846	0.398	2.792	2.712	4.238	5.145	4.655	5.559	6.331	7.704	12.572	10.118	9.107	9.942	10.466	11.601	2.628	0.924	0.924	0.942	0.930
	0.000	0.001	0.000	4.000	7.975	6.000	7.000	8.000	4.952	13.612	11.000	7.678	16.872	18.870	1.104	18.007	0.979	0.979	4.491	1.141	2.842
	0.137	0.110	0.000	3.960	2.245	11.268	1.050	7.649	10.011	3.898	8.266	12.947	11.461	14.907	13.110	30.213	1.879	0.976	1.465	1.019	1.179
	0.016	0.001	0.004	0.000	5.000	6.000	7.000	7.441	11.576	10.000	11.000	12.000	15.924	14.000	15.000	16.000	1.698	1.059	1.064	1.184	1.809
	0.714	1.473	0.781	5.132	4.453	6.962	5.076	7.653	6.369	14.690	9.825	9.350	9.102	9.798	10.196	12.361	2.660	0.927	0.937	0.930	0.940
	0.000	0.000	2.551	4.042	5.868	4.794	6.930	7.020	14.353	7.154	7.832	9.478	10.258	9.723	14.814	22.368	0.953	0.953	0.953	7.038	2.808
	0.001	0.000	2.431	4.000	5.000	4.303	7.234	8.000	15.432	10.000	10.165	8.700	11.468	9.972	10.411	16.000	0.951	0.951	0.951	7.207	2.654
	1.000	2.064	3.000	0.000	4.377	4.805	6.380	4.325	5.011	7.571	8.949	10.448	5.583	7.810	11.138	11.492	2.096	1.254	0.956	0.956	0.959
	0.002	0.000	0.000	4.860	4.170	2.654	12.149	7.529	9.158	12.471	6.368	11.908	10.855	9.323	15.738	11.331	0.961	0.961	4.318	1.240	2.568
	0.056	0.052	0.000	0.000	7.844	5.423	10.905	10.395	17.596	20.000	7.209	13.134	11.635	0.923	2.701	29.452	0.985	2.962	1.302	1.046	1.411
	0.524	0.000	2.595	3.158	3.712	4.868	3.759	5.578	5.247	6.689	15.512	11.622	9.127	9.915	10.832	11.326	0.932	0.932	0.932	8.600	0.961
	0.005	0.018	0.000	1.621	2.724	6.008	5.418	14.568	6.734	10.100	21.033	21.309	13.994	5.625	16.504	14.629	1.771	0.978	1.311	1.062	2.248
